Title,Year,Rating,Duration,Size,Resolution,V_Coec,Bit_depth,A_Codec,Channels,Sub_Format,Hash,Audio #,Sub #
Tropic Thunder,2008,★★★★,2h 01min,5.22,HD1080,x265,Bit10,AC3,5.1,SRT,1875216273,1,3
The Shining,1980,★★★★,2h 23min,6.34,HD1080,x265,Bit10,AAC,5.1,VOB,3822628611,2,20
Sherlock Holmes - A Game of Shadows,2011,★★★★,2h 08min,5.89,HD1080,x265,Bit10,AAC,5.1,VOB,1860889832,1,16
Django Unchained,2012,★★★★★,2h 45min,7.79,UHD4K,x265,Bit10,AC3,5.1,PGS,2545665707,3,40
Starship Troopers,1997,★★★½,2h 09min,6.07,HD1080,x265,Bit10,AAC,5.1,VOB,3877473858,4,5
The Royal Tenenbaums,2001,★★★★,1h 49min,10.18,HD1080,x265,Bit10,AC3,5.1,PGS,1320618265,2,1
Howl's Moving Castle,2004,★★★★½,1h 59min,12.96,HD1080,x265,Bit10,DTS,5.1,PGS,3366522675,2,12
Oldboy,2003,★★★★,1h 59min,5.32,UHD4K,x265,Bit10,AAC,5.1,SRT,2414883142,1,16
Shaun of the Dead,2004,★★★,1h 39min,4.37,HD1080,x265,Bit10,AAC,5.1,PGS,1434620618,5,5
The Nice Guys,2016,★★★★,1h 55min,4.67,HD1080,x265,Bit10,AAC,5.1,VOB,2623140749,1,3
Rogue One - A Star Wars Story,2016,★★★★,2h 13min,7.59,UHD4K,x265,Bit10,Atmos,7.1,PGS,4180465574,2,7
Once Upon a Time... in Hollywood,2019,★★★★,2h 41min,6.10,HD1080,x265,Bit10,AAC,5.1,VOB,2111323876,1,3
Harakiri,1962,★★★★,2h 13min,10.48,HD1080,x265,Bit10,AC3,2.0,PGS,2779618742,1,1
Guardians of the Galaxy,2014,★★★★½,2h 00min,13.16,UHD4K,x265,Bit10,Atmos,7.1,PGS,3986646683,3,45
The Irishman,2019,★★★★½,3h 29min,11.73,HD1080,x265,Bit10,EAC3,7.1,VOB,1138920299,2,1
Tombstone,1993,★★★★,2h 09min,4.78,HD1080,x265,Bit10,AAC,5.1,VOB,1360158432,1,22
Apocalypse Now,1979,★★★★,3h 01min,8.46,HD1080,x265,Bit10,AAC,7.1,VOB,3855930583,1,3
American Psycho,2000,★★★★★,1h 42min,21.47,HD1080,x264,Bit8,Atmos,5.1,SRT,4157839524,3,3
The Lighthouse,2019,★★★★½,1h 49min,7.11,HD1080,x265,Bit10,DTS,5.1,ASS,2596048260,2,1
High and Low,1963,★★★★½,2h 23min,9.76,HD1080,x265,Bit10,DTS,4.0,SRT,1872759226,1,1
"Monsters, Inc.",2001,★★★★,1h 32min,6.72,UHD4K,x265,Bit10,AAC,7.1,VOB,1815767931,1,3
The Menu,2022,★★★½,1h 47min,5.14,HD1080,x265,Bit10,EAC3,5.1,SRT,3125279136,1,3
The Ballad of Buster Scruggs,2018,★★★★½,2h 13min,5.56,HD1080,x265,Bit10,EAC3,5.1,SRT,1763988833,1,26
Pulp Fiction,1994,★★★★½,2h 34min,7.84,HD1080,x265,Bit10,EAC3,5.1,SRT,2288671874,1,1
Blue Velvet,1986,★★★,2h 00min,3.86,HD1080,x265,Bit10,AAC,5.1,VOB,4265480643,1,1
